BioSampleAccn	AssemblyAccession	Submitter	AssemblyName	AssemblyStatus	SeqReleaseDate	SpeciesName	Taxid	GenbankAccession	RefSeqFtp	GenBankFtp	TotalLength	ContigCount	ScaffoldCount
SAMN19664249	GCF_019677055.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967705v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019677055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/677/055/GCF_019677055.1_ASM1967705v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/055/GCA_019677055.1_ASM1967705v1	1636658	54
SAMN19664248	GCF_019677035.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967703v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019677035.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/677/035/GCF_019677035.1_ASM1967703v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/035/GCA_019677035.1_ASM1967703v1	1595838	35
SAMN19664251	GCF_019677015.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967701v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019677015.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/677/015/GCF_019677015.1_ASM1967701v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/015/GCA_019677015.1_ASM1967701v1	1602337	29
SAMN19664250	GCF_019676995.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967699v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676995.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/995/GCF_019676995.1_ASM1967699v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/995/GCA_019676995.1_ASM1967699v1	1619923	30
SAMN19664252	GCF_019676935.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967693v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/935/GCF_019676935.1_ASM1967693v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/935/GCA_019676935.1_ASM1967693v1	1602419	92
SAMN19664253	GCF_019676905.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967690v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/905/GCF_019676905.1_ASM1967690v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/905/GCA_019676905.1_ASM1967690v1	1602446	48
SAMN19664255	GCF_019676895.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967689v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/895/GCF_019676895.1_ASM1967689v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/895/GCA_019676895.1_ASM1967689v1	1655304	55
SAMN19664256	GCF_019676875.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967687v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676875.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/875/GCF_019676875.1_ASM1967687v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/875/GCA_019676875.1_ASM1967687v1	1682046	185
SAMN19664257	GCF_019676815.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967681v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/815/GCF_019676815.1_ASM1967681v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/815/GCA_019676815.1_ASM1967681v1	1598749	57
SAMN19664258	GCF_019676775.1	National Institute for Communicable Disease Control and Prevention, China CDC	ASM1967677v1	Scaffold	2021/08/18 00:00	Helicobacter pylori	210	GCA_019676775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/676/775/GCF_019676775.1_ASM1967677v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/676/775/GCA_019676775.1_ASM1967677v1	1661295	137
