run_accession	sample_accession	sample_alias	study_title	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
SRR32270657	SAMN46705595	A605	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608035	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2301523200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/057/SRR32270657/SRR32270657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/057/SRR32270657/SRR32270657_2.fastq.gz	a872dd19ca84d3a929ba3264040dc5b1;541b929623f295d7b9c0c620967ca843
SRR32270658	SAMN46705594	A596	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608034	PRJNA1219970	2104	Mycoplasmoides pneumoniae	1166181300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/058/SRR32270658/SRR32270658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/058/SRR32270658/SRR32270658_2.fastq.gz	782379fac2d8494d7e833c5b9c83beaf;6ba326036179ed1f919405d9a4eca8d3
SRR32270659	SAMN46705791	HD0031116-BJ428	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608033	PRJNA1219970	2104	Mycoplasmoides pneumoniae	80910900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/059/SRR32270659/SRR32270659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/059/SRR32270659/SRR32270659_2.fastq.gz	836d886bf6a9bef76ab7d292f093f4e8;49403e837ae9e636f3519a89cbb5e37d
SRR32270660	SAMN46705593	A479	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608032	PRJNA1219970	2104	Mycoplasmoides pneumoniae	384811200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/060/SRR32270660/SRR32270660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/060/SRR32270660/SRR32270660_2.fastq.gz	830efb1240235a34f3b85d89378f277c;8fee84e6ebb84acd9779926d3cda3d3c
SRR32270661	SAMN46705790	HD0031111-BJ313	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608031	PRJNA1219970	2104	Mycoplasmoides pneumoniae	79742100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/061/SRR32270661/SRR32270661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/061/SRR32270661/SRR32270661_2.fastq.gz	7145288c364fcbaba91e90ea2af802de;955339292f8947da1bd84c442a8acf2c
SRR32270662	SAMN46705789	HE0002585-BJ11269	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608030	PRJNA1219970	2104	Mycoplasmoides pneumoniae	6026030400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/062/SRR32270662/SRR32270662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/062/SRR32270662/SRR32270662_2.fastq.gz	44a177b35a3bc4dd5fd559ed32ef025a;100ad401ac2d1ecdb119c826093fe20a
SRR32270663	SAMN46705788	HE0002584-BJ11268	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608029	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2282039700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/063/SRR32270663/SRR32270663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/063/SRR32270663/SRR32270663_2.fastq.gz	c1a46f8ad275b1dfcb66d3316be574e1;68283f4a799f057545995e52f8482dd6
SRR32270664	SAMN46705787	HE0002583-BJ11260	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608028	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2141180100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/064/SRR32270664/SRR32270664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/064/SRR32270664/SRR32270664_2.fastq.gz	8115ff1a00d4097ba730e34d2ba0ca21;102487b29166b35bff4a7664fa6f2656
SRR32270665	SAMN46705786	HE0002582-BJ11167	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608027	PRJNA1219970	2104	Mycoplasmoides pneumoniae	537900300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/065/SRR32270665/SRR32270665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/065/SRR32270665/SRR32270665_2.fastq.gz	2eba9fe41b35392bad42ab8014913235;dd00376b4d8cb54f1c4c1a48959b1d36
SRR32270666	SAMN46705785	HE0002581-BJ11153	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608026	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2938644900	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/066/SRR32270666/SRR32270666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/066/SRR32270666/SRR32270666_2.fastq.gz	63484f0bebd5e99aeec71f9a0fb311b1;85bbe56aa5a6285d2e02cd3bc1ce399b
SRR32270667	SAMN46705784	HE0002580-BJ11137	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608025	PRJNA1219970	2104	Mycoplasmoides pneumoniae	4150543800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/067/SRR32270667/SRR32270667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/067/SRR32270667/SRR32270667_2.fastq.gz	bb4ffc90e63def088bd9ec2c45eefb3b;b4e38cff9ffe61f6caf1880eb1054ba4
SRR32270668	SAMN46705783	HE0002579-BJ11124	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608024	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2414728500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/068/SRR32270668/SRR32270668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/068/SRR32270668/SRR32270668_2.fastq.gz	17a8a73742c5dad44cddee72ec774eb0;616fe6e24cbae23b40490c2e3f7130fc
SRR32270669	SAMN46705782	HE0002578-BJ11108	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608023	PRJNA1219970	2104	Mycoplasmoides pneumoniae	5221838100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/069/SRR32270669/SRR32270669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/069/SRR32270669/SRR32270669_2.fastq.gz	9607acc750ea4f05f02cc783c1567b80;4f2edc627c507d97803b0d982077041a
SRR32270670	SAMN46705781	HE0002577-BJ11101	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608022	PRJNA1219970	2104	Mycoplasmoides pneumoniae	1240988400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/070/SRR32270670/SRR32270670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/070/SRR32270670/SRR32270670_2.fastq.gz	9486b0fc94392fd0ecd994a3edee3c8e;44588c5fc76a66d2f2b6ccbcd25268af
SRR32270671	SAMN46705592	A477	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608021	PRJNA1219970	2104	Mycoplasmoides pneumoniae	913305600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/071/SRR32270671/SRR32270671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/071/SRR32270671/SRR32270671_2.fastq.gz	6007876995092babe680fb219ddee7f0;38ebc256e7003b7fc69ce542bcfbce77
SRR32270672	SAMN46705780	HE0002576-BJ11099	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608020	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2214116400	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/072/SRR32270672/SRR32270672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/072/SRR32270672/SRR32270672_2.fastq.gz	191863b539da53f5dc09053eccc93a0e;2e274e6d5a72a82dde9e8ae898e25d98
SRR32270673	SAMN46705779	HE0002575-BJ11094	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608019	PRJNA1219970	2104	Mycoplasmoides pneumoniae	1042797000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/073/SRR32270673/SRR32270673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/073/SRR32270673/SRR32270673_2.fastq.gz	3043c4c09c7050af756821130bb087d9;e4dd5b447d484e9f8103466c6686f898
SRR32270674	SAMN46705778	HE0002574-BJ7057	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608018	PRJNA1219970	2104	Mycoplasmoides pneumoniae	3009399300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/074/SRR32270674/SRR32270674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/074/SRR32270674/SRR32270674_2.fastq.gz	4537902432dfb087b5340da0d72b41dd;d41fd8811b65789c9238155c9857e3af
SRR32270675	SAMN46705777	HE0002573-BJ7052	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608017	PRJNA1219970	2104	Mycoplasmoides pneumoniae	6314731500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/075/SRR32270675/SRR32270675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/075/SRR32270675/SRR32270675_2.fastq.gz	fed663e520f82e4fa84dd2eb87570d9b;15eb05a652ab5a75fc527e17902be63b
SRR32270676	SAMN46705776	HE0002571-BJ7034	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608016	PRJNA1219970	2104	Mycoplasmoides pneumoniae	5108920800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/076/SRR32270676/SRR32270676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/076/SRR32270676/SRR32270676_2.fastq.gz	f61bad03861c2e4d78f0a19836b69f94;6b8d1487cc860a08729103bace0d15ec
SRR32270677	SAMN46705775	HE0002570-BJ7028	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608015	PRJNA1219970	2104	Mycoplasmoides pneumoniae	912894600	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/077/SRR32270677/SRR32270677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/077/SRR32270677/SRR32270677_2.fastq.gz	a52492db96fb59e69d45719c9656c168;8867b7a9821ec1bff68dcec3b5b8b357
SRR32270678	SAMN46705774	HE0002569-BJ6809	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608014	PRJNA1219970	2104	Mycoplasmoides pneumoniae	2263468500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/078/SRR32270678/SRR32270678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/078/SRR32270678/SRR32270678_2.fastq.gz	2efd63c316a946c89b3f9455f7a643e3;6659c86aa72581dea8dd2846295a4fdc
SRR32270679	SAMN46705773	HE0002568-BJ6778	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608013	PRJNA1219970	2104	Mycoplasmoides pneumoniae	4518530100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/079/SRR32270679/SRR32270679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/079/SRR32270679/SRR32270679_2.fastq.gz	de650c0c7fdb9856f83963ed595f1c56;645f33a1e6fe0d457bd41090a9839247
SRR32270680	SAMN46705772	HE0002567-BJ6766	Mycoplasmoides pneumoniae metagenomic Raw sequence reads	SRX27608012	PRJNA1219970	2104	Mycoplasmoides pneumoniae	6537253800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/080/SRR32270680/SRR32270680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR322/080/SRR32270680/SRR32270680_2.fastq.gz	2d406c46677f1b75de1e94f1275d3f9d;bc3abc9245a2940dec6bb5cfb1d53511
